ID,Gender,Age,Education,Years,State,Beekeeping is my primary source of income,Beekeeping is my secondary source of income,Beekeeping is my hobby,I started beekeeping because I enjoy observing bees,I started beekeeping to be outside and connect with nature,I started beekeeping for the pollination services,I started beekeeping to help bees and the Earth,I actively manage my bees,Nesting,Insecticide,Spring floral,Summer floral,Fall floral,Nesting,Insecticide,Spring floral,Summer floral,Fall floral,The scores shown in Beescape match what I know from my past experiences,Beescape helped me understand the quality of my landscape for bees,Beescape provides information that is relevant to my beekeeping practices,Beescape helped me connect with scientists at Penn State,Beescape would be helpful for planning the best place to put my apiary,Beescape would help me meet other beekeepers,I am comfortable sharing the location of my apiary with scientists studying bees,I am comfortable sharing the location of my apiary with other beekeepers,I am comfortable sharing the location of my apiary with the general public,I would support a publicly accessible map of all apiaries contributing to Beescape if their exact locations were obscured,I am concerned about potential misuse of information that I contribute to Beescape,Beescape is simple,I would like to use Beescape frequently,Beescape is easy to use, I could use Beescape without technical support from another person,The various functions of Beescape are well integrated,The Beescape interface is consistent,Most people could learn to use Beescape quickly,Beescape provides an intuitive interface,I feel confident using Beescape,Beescape will help me make better decisions about beekeeping,I would recommend using Beescape to other beekepers,I trust what I see when using Beescape, It's worth taking time away from my other responsibilities to use Beescape,I would like to integrate Beescape into my beekeeping workflow over time, The information Beescape provides is relevant to my beekeeping practices, Beescape will help me connect to what is happening in beekeeping science,Allow users to visualize the foraging range (3-5 km) around each apiary on the map,Allow users to visualize nearby apiaries on the map,Allow users to visualize how scores will change in the future for their apiary,Add discussion boards to support beekeeper conversations about landscape health and sustainability,Allow data from Beescape to be exported for use in other tools,View management tips for new beekeepers,View how data collection is helping scientists at Penn State
1,2,66 or Older,Bachelor's degree,42,PA,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,5,3,1,2,4,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Strongly agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2,4,3,7,5,6,1
2,2,54-65,High school graduate or equivalent,4,PA,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,5,4,2,3,1,Agree,Strongly agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,3,2,5,7,6,4,1
3,2,54-65,Bachelor's degree,6,PA,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,5,1,2,3,4,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Disagree,Strongly agree,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,2,7,1,3,6,4,5
4,2,54-65,Graduate or professional degree,2,IL,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,4,5,1,2,3,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,1,5,2,6,7,4,3
5,2,34-44,Some college,2,PA,Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,4,5,1,2,3,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Disagree,Agree,Agree,Disagree,Agree,Neither agree nor disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,3,1,4,5,6,2,7
6,1,54-65,Graduate or professional degree,10,"OR, CA",Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,5,4,3,2,1,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,1,3,5,7,2,4,6
7,1,45-54,Graduate or professional degree,2,"PA, MT, WV, OH",Disagree,Disagree,Neither Agree nor Disagree,Agree,Agree,Strongly Disagree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,5,2,3,1,4,Neither agree nor disagree,Agree,Agree,Strongly agree,Agree,Disagree,Agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,,Neither agree nor disagree,Agree,Agree,Agree,1,2,6,5,7,4,3
8,2,66 or Older,Some college,7,PA,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,4,5,1,2,3,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,1,2,5,7,3,4,6
9,2,54-65,Associates degree,4,PA,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,5,1,2,3,4,Neither agree nor disagree,Agree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,1,4,6,7,2,3,5
10,2,66 or Older,Graduate or professional degree,15,PA,Disagree,Disagree,Strongly Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,5,1,2,3,4,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,2,1,3,4,5,7,6
