q,text
Q1,I would like to see verora mite populations in the area along with other diseases.  Pest and disease management references would also be helpful.
Q1,None that I can think of
Q1,"Group cropping items into clusters of comparable forage quality and code similarly. There are too many categories, and they are not, in any case, accurate in any detail.  Fix the scoring; high should be greater or equal not less or equal. A link to paragraphs that explain the criteria that result in a particular scoring would be most useful. "
Q1,"I'm not sure how the scores are calculated, which leads me to how much I trust the values. The floral scores are important but I would argue the pesticide usage is the most important value to myself. I don't see how this can be accurate. How does beescapes know what chemicals my neighbor is spraying on his yard, it doesn't..."
Q1,"Ability to share information with nearby beekeepers.  For example, regarding bee health, whether or not pollen is being brought in, honey production levels, etc."
Q1,I live in Connecticut so please add my state to Beescape soon.
Q1,"Glossary - what does ""Nesting"" mean in this context? Hollow trees?
The crop cover information is difficult to interpret. Too many of the colors are similar and there's no textual information on the map. Also, the information for the Penn State farm throws the quality of the data into question."
Q1,"I have a hard time distinguishing some of the colors in the crop layer.  I live in a rural/agricultural area, so there's a lot of farms and plant life nearby.  I would love for the crops either to be identified explicitly on the map or the colors to differ enough that I actually know what's available in my area."
Q1,my computer does not allow for drag and click so reording the above preferences was not possible
Q1,"A key for the map that explains what the other blue dots are. 
A layer that shows Spotted Lanternfly infestations, as our bees may be ingesting the honeydew. "
Q1,"I understand that this is in its infancy and will be expanded.  It was interesting to see the results for the categories.  However, there was no explanation of what the categories meant so it was not as useful as it might be if I had more information.  Other extensions would make it a much more useful tool."
Q1,"give more explanation for definitions of each category, including types of insecticides being monitored or included in the data"
Q1,I don't think there's anything wrong with it. I lked it.
Q1,I think the programs's great. I think it will be easier for most beekeeprs.
Q2,I learned that my hive location is better than what I expected.  I thought there was a higher insecticide risk than what was displayed and there was better forage than what I thought.
Q2,"I think this tool has a lot of promise.  The problem is that my apiary is stationary and I don't know of any way to develop an out yard.  For me, once I determine the scores and potentially what I can do to maximize them, I probably won't return to this web site.  That's because the data, for me, will not change.  Therefore, the tool is great.  You just need to determine how to make it more than just a ""one and done"" experience."
Q2,Very easy survey to complete.  I have a much better understanding of the information available through Beescape.
Q2,I would have enjoyed it more if it were for my location.
